designation	id_text	museum_no	collection	excavation_no	provenience	period	primary_publication	author	publication_date	publication_history	Cohen_balag	Delnero_no	Delnero_subgenre_no	Delnero_remarks	material	object_type	language	sub_genre	accession_no	cdli_comments	atf_source	date_remarks	cdli_collation	electronic_publication
CBS 11396	P227675	CBS 11396	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian		nn	nd			289	Balag ID (43)	Unpublished, see Peterson 2011, 280	clay	tablet	Sumerian				no atf			
CBS 12674	P267302	CBS 12674	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian		nn	nd	Delnero (2016: 97)		291	Balag Enlil (257)		clay	tablet	Sumerian				no atf			
CBS 12675	P267303	CBS 12675	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian		nn	nd			292	Uncertain TT Enlil (487)		clay	tablet	Sumerian				no atf			
CBS 12703	P267327	CBS 12703	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian		nn	nd			293	Balag ID (124)		clay	tablet					no atf			
CBS 13393	P268473	CBS 13393	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian		nn	nd			294	Balag ID (173)		clay	tablet	Sumerian				no atf			
CBS 15089	P269651	CBS 15089	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA			Old Babylonian		nn	nd	M. Cohen, Hymnology (1981: 121–27 = Source B)		295	Collective Tablet (450, 465 and 488)		clay	tablet	Sumerian				no atf			
VS 02, 085	P524997	VAT 01533	Vorderasiatisches Museum, Berlin, Germany	W 06435,a	Uruk	Old Babylonian	VS 02, 085	CDLI	2015ff.	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 011, W 6435,a; ATU 1, 594		157	Uncertain TT ID (469)		clay	tablet	undetermined				Englund, Robert K.			
BM 096680	P345778	BM 096680	British Museum, London, UK		uncertain	Old Babylonian	Kramer 1987, 89-90	CDLI	2014ff.	Kramer (1987: 71–90)		079	Balag ID (3)		clay	tablet	Sumerian		1902-04-15, 0001		no atf			
CT 15, Pl. 19	P345454	BM 029628	British Museum, London, UK		uncertain	Old Babylonian	CT 15, pl. 19	CDLI	2014ff.	M. Fritz, AOAT 307 (2003: 113–14)		032	Ershemma ID (324)		clay	tablet	Sumerian		1898-11-15, 0014		Brumfield, Sara; Heinle, Michael; Wolfe, Jared			
CT 58, 11	P274206	BM 109167	British Museum, London, UK		Sippar-Yahrurum ?	Old Babylonian	CT 58, 11	CDLI	2014ff.	Alster, Bendt & Geller, Markham J., CT 58 (1990) 11		091	Ershemma ID (333)		clay	tablet	Sumerian		1914-04-06, 0070		Brumfield, Sara; Heinle, Michael; Wolfe, Jared			
CT 58, 03	P274198	BM 079510	British Museum, London, UK		Sippar-Yahrurum ?	Old Babylonian	CT 58, 03	CDLI	2014ff.	M. Fritz, AOAT 307 (2003: 116–17)		057	Balag ID (63)		clay	tablet	Sumerian		1889-10-14, 0060		no atf			
BM 120011	P355681	BM 120011	British Museum, London, UK		uncertain	Old Babylonian	Wagensonner 2009, 363, 365, 375-76; ETCSL 1.7.7	CDLI	2014ff.	Wagensonner (2009: 355–76)		093	Balag ID (72)		clay	tablet	Sumerian		1928-07-16, 0011		no atf			
N 4190	P279055	N 4190	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian	CDLI Literary 000381, ex. 041	CDLI	2014ff.			331	Balag ID (100)		clay	tablet	Sumerian				no atf			
N 3043 +	P278106	N 3043 + N 3044	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian	CDLI Literary 000381, ex. 045	CDLI	2014ff.			307	Balag NG (182)		clay	tablet	Sumerian				no atf			
BE 30, 10	P259244	CBS 02227 + CBS 02227 + CBS 02297a	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian	BE 30, 10	Radau, Hugo	1913	Peled (2015: 39-43)		261	Ershemma ID (373)					ETCSL 2.02.06 Lament for Eridu (witness)						
E. Bergman, ZA 57 (1965: 31–33); Å. Sjoberg, MSN (1960: 102-103).	P342809	VAT 00608 + VAT 01345	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 02, 001	CDLI	2014ff.	M. Fritz, AOAT 307 (2003: 158); Å. Sjöberg, MSN (1960: 89-96).		098	Collective Tablet (359, 419 and 459)		clay	tablet	Sumerian				no atf			
VS 02, 075	P342883	VAT 01372	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 02, 075	CDLI	2014ff.	E. Bergman, ZA 57 (1965: 31–33)		122	Balag Uncertain Deity (289)		clay	tablet	Sumerian				no atf			
CT 58, 32	P274227	BM 066276	British Museum, London, UK		Sippar-Yahrurum ?	Old Babylonian	CT 58, 32	CDLI	2014ff.	B. Alster, ASJ 14 (1992 = Source B); M. Fritz, AOAT 307 (2003: 69–72)		048	Balag ID (59)		clay	tablet	Sumerian		1882-09-17, 6267		Carr, Christie			
TUM 3, 26	P345621	HS 1494	Hilprecht Collection, University of Jena, Germany		Nippur	Old Babylonian	TUM 3, 26	CDLI	2014ff.	M. Fritz, AOAT 307 (2003: 125–26)		358	Ershemma ID (329)		clay	tablet					no atf			
CLAM 804	P355665	BM 096927	British Museum, London, UK		uncertain	Old Babylonian	Kramer 1990b, 268-69	Cohen, Mark E.	1988	M. Cohen, CLAM (1988: 804–808); A. Löhnert, AOAT 365 (2009: 396–97)		083	Collective Tablet (409, 441–443)		clay	tablet	Sumerian		1902-04-16, 0001		no atf			
CM 46, 37-49	X000100	CUNES 53-08-060	Department of Near Eastern Studies, Cornell University, Ithaca, New York, USA			Old Babylonian	CM 46, 37-49	Cohen, Mark E.	2014				Uncertain TT ID		clay	tablet	Sumerian							
CT 15, pl. 07-09, BM 029615	P345446	BM 029615	British Museum, London, UK		uncertain	Old Babylonian	CT 15, pl. 7-9	King, Leonard W.	1902	Wilcke (1973: 15–17)		028	Ershemma Enlil (406)		clay	tablet			1898-11-15, 0001		no atf			
CT 15, pl. 10, BM 013963	P345447	BM 013963	British Museum, London, UK		uncertain	Old Babylonian	CT 15, pl. 10	King, Leonard W.	1902	Civil (1976); A. Löhnert, AOAT 365 (2009: 117 = Source X2); U. Gabbay, HES 2 (2015: 324–27 = Source F)		012	Ershemma Enlil (405)		clay	tablet			1896-04-02, 0063		Foxvog, Daniel A.			
CT 15, pl. 11-12, BM 029644	P345448	BM 029644	British Museum, London, UK		uncertain	Old Babylonian	CT 15, pl.11-12	King, Leonard W.	1902	Falkenstein (1953: 77–79); M. Cohen, Hymnology (1981: 121–24)		035	Ershemma Enlil (408)		clay	tablet			1898-11-15, 0030		no atf			
CT 15, pl. 12-13, BM 029623	P345449	BM 029623	British Museum, London, UK		uncertain	Old Babylonian	CT 15, pl. 12-13	King, Leonard W.	1902	U. Gabbay, HES 2 (2015: 331–41 = Source D)		031	Ershemma Enlil (407)		clay	tablet			1898-11-15, 0009		no atf			
CT 15, pl. 14, BM 022741	P345450	BM 022741	British Museum, London, UK		uncertain	Old Babylonian	CT 15, pl.14	King, Leonard W.	1902			019	Ershemma Nergal (454)		clay	tablet			1897-05-10, 0004		no atf			
CT 15, pl. 15-16, BM 029631	P345451	BM 029631	British Museum, London, UK		uncertain	Old Babylonian	CT 15, pl. 15-16	King, Leonard W.	1902	D. Schwemer, Wettergottgestalten (2001: 184–88); W.H.Ph. Römer, Studies Kraus (1982: 298-317);  M. Cohen, Hymnology (1981: 51-54; 151)		033	Ershemma Ishkur (439)		clay	tablet	Sumerian		1898-11-15, 0017		no atf			
CT 15, pl. 16-17, BM 013930	P345452	BM 013930	British Museum, London, UK		uncertain	Old Babylonian	CT 15, pl.16-17	King, Leonard W.	1902	Å. Sjöberg, MSN (1960: 44–64)		011	Ershemma Nanna-Suen (455)		clay	tablet			1896-04-02, 0030		no atf			
CT 15, pl. 18, BM 015821	P345453	BM 015821	British Museum, London, UK		uncertain	Old Babylonian	CT 15, pl.18	King, Leonard W.	1902	M. Fritz, AOAT 307 (2003: 114–115)		015	Ershemma ID (321)		clay	tablet			1896-06-12, 0041		no atf			
CT 15, pl. 20-21, BM 015795	P345455	BM 015795	British Museum, London, UK		uncertain	Old Babylonian	CT 15, pl.20-21	King, Leonard W.	1902	M. Fritz, AOAT 307 (2003: 107–108)		014	Ershemma ID (320)		clay	tablet			1896-06-12, 0015		no atf			
CT 15, pl. 22, BM 085005	P345456	BM 085005	British Museum, London, UK		uncertain	Old Babylonian	CT 15, pl.22	King, Leonard W.	1902			063	Ershemma Bau (401)		clay	tablet			1899-01-16, 0043		no atf			
CT 15, pl. 23, BM 023584	P345457	BM 023584	British Museum, London, UK		uncertain	Old Babylonian	CT 42, 12 = pl. 23	King, Leonard W.	1902	M. Cohen, Hymnology (1981: 62–66)		023	Ershemma ID (322)		clay	tablet			1898-02-14, 0004		no atf			
CT 15, pl. 24-25, BM 023117	P345458	BM 023117	British Museum, London, UK		uncertain	Old Babylonian	CT 15, pl.24-25	King, Leonard W.	1902	Falkenstein (1953: 183–85); Black (1985: 72–73)		022	Balag ID (56)		clay	tablet			1897-05-13, 0015		no atf			
CT 15, pl. 26-27, BM 023658	P345459	BM 023658	British Museum, London, UK		uncertain	Old Babylonian	CT 15, pl. 26-27	King, Leonard W.	1902	M. Fritz, AOAT 307 (2003: 183–86)		024	Balag ID (57)		clay	tablet			1898-02-15, 0040		no atf			
CT 15, pl. 30, BM 088384	P345461	BM 088384	British Museum, London, UK		uncertain	Old Babylonian	CT 15, pl. 30	King, Leonard W.	1902	M. Fritz, AOAT 307 (2003: 183–86)		073	Balag ID (67)		clay	tablet			1901-02-09, 0101		no atf			
CT 36, pl. 35-38, BM 096933	P345504	BM 096933	British Museum, London, UK		uncertain	Old Babylonian	CT 36, pl. 35-38	Gadd, Cyril J.	1921	Kramer (1987: 71–90)		084	Balag ID (4)		clay	tablet			1902-04-16, 07		no atf			
CT 36, pl. 41-42, BM 096940	P345506	BM 096940	British Museum, London, UK		uncertain	Old Babylonian	CT 36, pl. 41-42	Gadd, Cyril J.	1921	M. Cohen, Hymnology (1981: 103–106)		086	Ershemma NG (386)		clay	tablet			1902-04-16, 14		Foxvog, Daniel A.			
CT 36, pl. 45-46, BM 096691	P345508	BM 096691	British Museum, London, UK		uncertain	Old Babylonian	CT 36, pl.45-46	Gadd, Cyril J.	1921			081	Balag Enlil (229)		clay	tablet			1902-04-15, 0012		no atf			
CT 36, pl. 47-50, BM 096681	P345509	BM 096681	British Museum, London, UK		uncertain	Old Babylonian	CT 36, pl. 47-50	Gadd, Cyril J.	1921	Black (2005: 53)		080	Balag AD (191)		clay	tablet			1902-04-15, 0002		no atf			
CT 42, 03 BM 086536	P283774	BM 086536	British Museum, London, UK			Old Babylonian	CT 42, 3 = pl. 4-6	Figulla, Hugo H.	1959	A. Löhnert, AOAT 365 (2009: 396 = Source X4); A. Glenn and J. Peterson, AoF 45 (2018: 169) 		068	Balag Enlil (219)		clay	tablet	Sumerian		1899-11-11, 0003		no atf			
CT 42, 07 BM 015793	P283739	BM 015793	British Museum, London, UK			Old Babylonian	CT 42, pl.14-17	Figulla, Hugo H.	1959	M. Cohen, Hymnology (1981: 96–103)		013	Collective Tablet (384 and 446)		clay	tablet	Sumerian		1896-06-12, 0013		no atf			
CT 42, 09 BM 085197	P283770	BM 085197	British Museum, London, UK			Old Babylonian	CT 42, 9 = pl. 20-21	Figulla, Hugo H.	1959	U. Gabbay, HES 2 (2015: 342–43 = Text III)		064	Ershemma Nanna-Suen (284)		clay	tablet	Sumerian		1899-04-15, 0004		no atf			
CT 42, 10 BM 065145	P283764	BM 065145	British Museum, London, UK		Sippar-Yahrurum ?	Old Babylonian	CT 42, 10 = pl. 21	Figulla, Hugo H.	1959	D. Schwemer, Wettergottgestalten (2001: 184–88); M. Cohen, Hymnology (1981: 56-57 and 153-154).		047	Ershemma Ishkur (440)		clay	tablet	Sumerian		1882-09-18, 05126		no atf			
CT 42, 14 BM 016385	P283743	BM 016385	British Museum, London, UK			Old Babylonian	CT 42, 14 = pl. 26-27	Figulla, Hugo H.	1959			017	Balag ID (55)		clay	tablet	Sumerian		1896-06-13, 0013		no atf			
CT 42, 15 BM 087518	P283775	BM 087518	British Museum, London, UK			Old Babylonian	CT 42, 15 = pl. 28-29	Figulla, Hugo H.	1959	M. Cohen, CLAM (1988: 193-201); M. Fritz, AOAT 307 (2003: 110–11)		069	Balag ID (2)		clay	tablet	Sumerian		1900-10-16, 0028		no atf			
CT 42, 16 BM 085198	P283771	BM 085198	British Museum, London, UK			Old Babylonian	CT 42, 16 = pl. 30	Figulla, Hugo H.	1959	Krecher (1967a: 30–65)		065	Ershemma ID (325)		clay	tablet	Sumerian		1899-04-15, 0005		no atf			
CT 42, 19 BM 029617	P283757	BM 029617	British Museum, London, UK			Old Babylonian	CT 42, 19 = pl. 32	Figulla, Hugo H.	1959			030	Ershemma NG (385)		clay	tablet	Sumerian		1898-11-15, 0003		no atf			
CT 42, 26 BM 085204	P283773	BM 085204	British Museum, London, UK			Old Babylonian	CT 42, 26 = pl. 39	Figulla, Hugo H.	1959	M. Cohen, CLAM (1988: 320); R. Kutscher, Angry Sea (1975:  60-61)		066	Balag ID (209)		clay	tablet	Sumerian		1899-04-15, 0011		no atf			
CT 42, 33 BM 015822	P283742	BM 015822	British Museum, London, UK			Old Babylonian	CT 42, 33 = pl. 42	Figulla, Hugo H.	1959			016	Balag ID (107)		clay	tablet	Sumerian		1896-06-12, 0042		no atf			
CT 42, 38 BM 016901	P283745	BM 016901	British Museum, London, UK			Old Babylonian	CT 42, 38 = pl. 45	Figulla, Hugo H.	1959			018	Balag NG (170)		clay	tablet	Sumerian		1892-07-99, 0017		no atf			
CT 44, 13	P345522	BM 078193	British Museum, London, UK		Sippar-Yahrurum	Old Babylonian	CT 44, 13	Sollberger, Edmond	1963	M. Fritz, AOAT 307 (2003: 129–130)		054	Balag ID (62)		clay	tablet			1888-05-12 Bu, 0028		no atf			
CT 44, 14	P345523	BM 078198	British Museum, London, UK		Sippar-Yahrurum	Old Babylonian	CT 44, 14	Sollberger, Edmond	1963			055	Balag Uncertain Deity (287)		clay	tablet			1888-05-12 Bu, 0034		no atf			
CT 44, 15	P345524	BM 078173	British Museum, London, UK		Sippar-Yahrurum	Old Babylonian	CT 44, 15	Sollberger, Edmond	1963	Krecher (1967a: 30–65)		052	Ershemma ID (346)		clay	tablet			1888-05-12 Bu, 0002		no atf			
CT 58, 01	P274196	BM 073137	British Museum, London, UK		Sippar-Yahrurum ?	Old Babylonian	CT 58, 01	Alster, Bendt & Geller, Markham J.	1990	Alster (1986 = Source E)		050	Balag ID (60)		clay	tablet	Sumerian		1882-09-18, 13147		no atf			
CT 58, 02	P274197	BM 061892	British Museum, London, UK		Sippar-Yahrurum ?	Old Babylonian	CT 58, 02	Alster, Bendt & Geller, Markham J.	1990	M. Fritz, AOAT 307 (2003: 125–26)		046	Ershemma ID (345)		clay	tablet	Sumerian		1882-09-18, 01861		no atf			
CT 58, 04	P274199	BM 082972	British Museum, London, UK		Sippar-Yahrurum ?	Old Babylonian	CT 58, 04	Alster, Bendt & Geller, Markham J.	1990	M. Fritz, AOAT 307 (2003: 132)		061	Balag ID (66)		clay	tablet	Sumerian		1883-01-21, 0135		no atf			
CT 58, 05	P274200	BM 098396	British Museum, London, UK		Sippar-Yahrurum ?	Old Babylonian	CT 58, 05	Alster, Bendt & Geller, Markham J.	1990	Kramer (1982c: 141*–146*); Katz (2003: 19–23)		87	Ershemma Ninhursag (398)		clay	tablet	Sumerian		1904-04-12, 0010		no atf			
CT 58, 06	P274201	BM 054970	British Museum, London, UK		Sippar-Yahrurum ?	Old Babylonian	CT 58, 06	Alster, Bendt & Geller, Markham J.	1990			040	Ershemma ID (344)		clay	tablet	Sumerian		1882-05-22, 1300		no atf			
CT 58, 07	P274202	BM 096692	British Museum, London, UK		Sippar-Yahrurum ?	Old Babylonian	CT 58, 07	Alster, Bendt & Geller, Markham J.	1990	M. Fritz, AOAT 307 (2003: 150)		082	Ershemma ID (356)		clay	tablet	Sumerian		1902-04-15, 0013		no atf			
CT 58, 08	P274203	BM 080758	British Museum, London, UK		Sippar-Yahrurum ?	Old Babylonian	CT 58, 08	Alster, Bendt & Geller, Markham J.	1990	M. Fritz, AOAT 307 (2003: 121–23, 150)		059	Balag ID (65)		clay	tablet	Sumerian		1891-05-09 Bu, 0896		no atf			
CT 58, 12	P274207	BM 085206	British Museum, London, UK		Sippar-Yahrurum ?	Old Babylonian	CT 58, 12	Alster, Bendt & Geller, Markham J.	1990	Volk (1994: 188-190); M. Fritz, AOAT 307 (2003: 157f.); Shehata (2009: 357-360); S. Mirelman and W. Sallaberger, ZA 100 (2010: 177-196).					clay	tablet	Sumerian		1899-04-15, 0013		no atf			
CT 58, 14	P274209	BM 061547 + BM 067958 + BM 071421	British Museum, London, UK		Sippar-Yahrurum ?	Old Babylonian	CT 58, 14	Alster, Bendt & Geller, Markham J.	1990			045	Balag ID (109)		clay	tablet	Sumerian		1882-09-18, 01519		no atf			
CT 58, 15	P274210	BM 088406	British Museum, London, UK		Sippar-Yahrurum ?	Old Babylonian	CT 58, 15	Alster, Bendt & Geller, Markham J.	1990	M. Fritz, AOAT 307 (2003: 93)		074	Balag ID (68)		clay	tablet	Sumerian		1901-02-09, 0123		no atf			
CT 58, 16	P274211	BM 023666	British Museum, London, UK		Sippar-Yahrurum ?	Old Babylonian	CT 58, 16	Alster, Bendt & Geller, Markham J.	1990	M. Fritz, AOAT 307 (2003: 93)		025	Balag ID (58)		clay	tablet	Sumerian		1898-02-15, 0048		no atf			
CT 58, 17	P274212	BM 087575	British Museum, London, UK		Sippar-Yahrurum ?	Old Babylonian	CT 58, 17	Alster, Bendt & Geller, Markham J.	1990	M. Fritz, AOAT 307 (2003: 187)		071	Ershemma ID (355)		clay	tablet	Sumerian		1900-10-16, 0085		no atf			
CT 58, 18	P274213	BM 088858	British Museum, London, UK		Sippar-Yahrurum ?	Old Babylonian	CT 58, 18	Alster, Bendt & Geller, Markham J.	1990	M. Fritz, AOAT 307 (2003: 187)		075	Balag ID (69)		clay	tablet	Sumerian		1901-02-09, 0575		no atf			
CT 58, 19	P274214	BM 055290	British Museum, London, UK		Sippar-Yahrurum ?	Old Babylonian	CT 58, 19	Alster, Bendt & Geller, Markham J.	1990	M. Fritz, AOAT 307 (2003: 109–10); A. Löhnert, AOAT 365 (2009: 392–93)		041	Balag ID (27)		clay	tablet	Sumerian		1882-05-22, 1622		no atf			
CT 58, 20	P274215	BM 096936	British Museum, London, UK		Sippar-Yahrurum ?	Old Babylonian	CT 58, 20	Alster, Bendt & Geller, Markham J.	1990	Black (2005: 44 n. 26)		085	Balag Nin-nigingara (199)		clay	tablet	Sumerian		1902-04-16, 10		no atf			
CT 58, 21	P274216	BM 023111	British Museum, London, UK		Sippar-Yahrurum ?	Old Babylonian	CT 58, 21	Alster, Bendt & Geller, Markham J.	1990	M. Fritz, AOAT 307 (2003: 189–90)		021	Balag ID (108)		clay	tablet	Sumerian		1897-05-13, 0009		no atf			
CT 58, 31	P274226	BM 061445	British Museum, London, UK		Sippar-Yahrurum ?	Old Babylonian	CT 58, 31	Alster, Bendt & Geller, Markham J.	1990			044	Uncertain TT and D (492)		clay	tablet	Sumerian		1882-09-18, 01419		no atf			
CT 58, 33	P274228	BM 100111	British Museum, London, UK		Sippar-Yahrurum ?	Old Babylonian	CT 58, 33	Alster, Bendt & Geller, Markham J.	1990			090	Ershemma ID (328)		clay	tablet	Sumerian		1905-05-15, 0071		no atf			
CT 58, 34	P274229	BM 096639	British Museum, London, UK		Sippar-Yahrurum ?	Old Babylonian	CT 58, 34	Alster, Bendt & Geller, Markham J.	1990			078	Ershemma ID (326)		clay	tablet	Sumerian		1902-04-14, 0073		no atf			
CT 58, 35	P274230	BM 057502	British Museum, London, UK		Sippar-Yahrurum ?	Old Babylonian	CT 58, 35	Alster, Bendt & Geller, Markham J.	1990			042	Balag Enlil (228)		clay	tablet	Sumerian		1882-07-14, 1913		no atf			
CT 58, 36	P274231	BM 054323 + BM 059692	British Museum, London, UK		Sippar-Yahrurum ?	Old Babylonian	CT 58, 36	Alster, Bendt & Geller, Markham J.	1990			037	Ershemma ID (343)		clay	tablet	Sumerian		1882-05-22, 0475		no atf			
CT 58, 37	P274232	BM 087520	British Museum, London, UK		Sippar-Yahrurum ?	Old Babylonian	CT 58, 37	Alster, Bendt & Geller, Markham J.	1990			070	Ershemma NG (388)		clay	tablet	Sumerian		1900-10-16, 0030		no atf			
CT 58, 38	P274233	BM 109168	British Museum, London, UK		Sippar-Yahrurum ?	Old Babylonian	CT 58, 38	Alster, Bendt & Geller, Markham J.	1990			092	Balag Ninurta (279)		clay	tablet	Sumerian		1914-04-06, 0071		no atf			
CT 58, 41	P274236	BM 096112	British Museum, London, UK		Sippar-Yahrurum ?	Old Babylonian	CT 58, 41	Alster, Bendt & Geller, Markham J.	1990	M. Fritz, AOAT 307 (2003: 177)		076	Balag ID (70)		clay	tablet	Sumerian		1902-04-12, 0224		no atf			
CT 58, 42	P274237	BM 100046	British Museum, London, UK		Sippar-Yahrurum ?	Old Babylonian	CT 58, 42	Alster, Bendt & Geller, Markham J.	1990	Kramer (1980b: 5–13); M. Fritz, AOAT 307 (2003: 123–24)		088	Ershemma ID (327)		clay	tablet	Sumerian		1905-05-15, 0006		no atf			
CT 58, 71	P274268	BM 075991	British Museum, London, UK		Sippar-Yahrurum	Old Babylonian	CT 58, 71	Alster, Bendt & Geller, Markham J.	1990			051	Balag ID (61)		clay	tablet	Sumerian		1883-01-18 AH, 1354		no atf			
CT 58, 73	P274270	BM 072884	British Museum, London, UK		Sippar-Yahrurum ?	Old Babylonian	CT 58, 73	Alster, Bendt & Geller, Markham J.	1990			049	Ershemma Enlil (418)		clay	tablet	Sumerian		1882-09-18, 12893		no atf			
CTMMA 2, 001	P412174	MMA 86.11.062	Metropolitan Museum of Art, New York, New York, USA			Old Babylonian	CTMMA 2, 1	Spar, Ira & Lambert, Wilfred G.	2005	Volk (2005: 3–10)		492	Balag AD (197)		clay	tablet	Akkadian				no atf			
Ersemma, p. 127 +	P259270	CBS 02218 + CBS 02334 + N 3335 + N 4226 + N 3369				Old Babylonian				A. Löhnert, AOAT 365 (2009: 114 = Source N3); Gabbay (2014: 12 n. 60; 2015: 332–43 = Source P)		263	Balag Enlil (222)											
Fs Birot 128-129	P355674	BM 086535	British Museum, London, UK		uncertain	Old Babylonian	Kramer 1985, 128-129	Kramer, Samuel N.	1985	Kramer (1985)		067	Balag Multiple Deities (286)		clay	tablet	Sumerian				no atf			
Fs Civil90, 091-102	P265634	CBS 10417	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian	Fs Civil90, 091-102	Delnero, Paul	2017	Delnero (2017)		276	Balag Enlil (223)		clay	tablet	Sumerian				no atf			
Fs Kraus 134-135	P355696	BM 029633	British Museum, London, UK		uncertain	Old Babylonian	Kramer 1982b, 134-35	Kramer, Samuel N.	1982	Kramer (1982b)		034	Ershemma Lisin (404)		clay	tablet	Sumerian		1898-11-15, 0019		no atf			
FT 2, AO 12999	P315421	AO 12999	Louvre Museum, Paris, France		Girsu	Old Babylonian	FT II, pl. 53	Genouillac, Henri de	1936			250	Balag Nanna-Suen (285)		clay	tablet	Sumerian				no atf			
FT 2, AO 13013	P315432	AO 13013	Louvre Museum, Paris, France		Girsu	Old Babylonian	FT II, pl. 52	Genouillac, Henri de	1936			251	Balag ID (117)		clay	tablet					no atf			
Haddad 0152 +	P355727	IM —	National Museum of Iraq, Baghdad, Iraq	H 0175 + 0152	Me-Turan	Old Babylonian	OBO 273, 458-459	Jaques, Margaret	2015	Cavigneaux & Al-Rawi (1993: 94); Jaques (2015: 34-38)			Eršahuga?		clay	tablet	Sumerian				no atf			
HAV 447, 03	P266078	CBS 10885	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian	HAV 3	Radau, Hugo	1909	Black (1985: 73–74); Hallo JAOS 103, p. 171		277	Balag ID (91)		clay	tablet	Sumerian				no atf			
HAV 449, 13	P259294	CBS 02249	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian	HAV 13	Radau, Hugo	1909	Kramer (1985: 115 n. 1)		264	Balag NG (172)		clay	tablet	Sumerian				no atf			
HAV 450, 14	P259314	CBS 02281	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian	HAV 14	Radau, Hugo	1909	Harper's No. 3-19-89-5a		265	Balag NG (180)		clay	tablet					no atf			
HAV 450, 15	P266495	CBS 11344	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian	HAV 15	Radau, Hugo	1909	Zimmern, Heinrich, ZA 31, p.111;		284	Balag ID (123)		clay	tablet	Sumerian				no atf			
ISET 1, 219 (pl. 161), Ist L 01486	P343579	Ist L 01486	Arkeoloji Müzeleri, Istanbul, Turkey		Girsu	Old Babylonian	ISET 1, 219	Kramer, Samuel N., Çig, Muazzez & Kizilyay, Hatice	1969	U. Gabbay, HES 2 (2015: 125–26)		481	Ershemma Utu (433)		clay	tablet					no atf			
ISET 1, 221-222 (pl. 163-164), Ist L 01492	P343583	Ist L 01492	Arkeoloji Müzeleri, Istanbul, Turkey		Girsu	Old Babylonian	ISET 1, 221-222	Kramer, Samuel N., Çig, Muazzez & Kizilyay, Hatice	1969	M. Cohen, Sumerian Hymnology (1981), 65-69 and 158-159 (Eršemma 32); U. Gabbay, Eršema Prayers (2015) p.149; U Gabbay Pacifying (2014), p. 59.		482	Ershemma ID (331)		clay	tablet					no atf			
ISET 1, 227 (pl. 169), Ist L 01501	P343588	Ist L 01501	Arkeoloji Müzeleri, Istanbul, Turkey		Girsu	Old Babylonian	ISET 1, 227	Kramer, Samuel N., Çig, Muazzez & Kizilyay, Hatice	1969	H. Limet, Akkadica 117 (2000: 3–8)		483	Ershemma AD (394)		clay	tablet					no atf			
JCS 08, 084, CNMA 10050	P355644	NMC 10050	Nationalmuseet, Copenhagen, Denmark		uncertain	Old Babylonian	JCS 8, 84	Jacobsen, Thorkild	1954			479	Ershemma ID (383)		clay	tablet	Sumerian				no atf			
MAH 15995	P423962	MAH 15995	Musée d’Art et d’Histoire, Geneva, Switzerland		uncertain	Old Babylonian		Volk, Konrad	nd			487	Ershemma ID (358)		clay	tablet					no atf			
MAH 16066	P424008	MAH 16066	Musée d’Art et d’Histoire, Geneva, Switzerland		uncertain	Old Babylonian	JCS 74, 35-61	Cavigneaux, Antoine	2022			490	Balag Utu (267)		clay	tablet					no atf			
Manchester Memoirs 48 pl.1-7	P355698	MMUM 35516 +	Manchester Museum, University of Manchester, Manchester, UK		Sippar-Yahrurum ?	Old Babylonian	Manchester Memoirs 48 pl.1-7	Pinches, Theophilus G.	1904	B. Alster, ASJ 14 (1992: 1-46); M. Fritz, AOAT 307 (2003: 70–72); M Civil, NABU 1990/20.		491	Balag ID (24)		clay	tablet	Sumerian				Carr, Christie			
N 1053	P276199	N 1053	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian		nn	nd			297	Balag ID (126)		clay	tablet	Sumerian				no atf			
